,img,gt,back_gt,B,G,R
0,./dataset/RDD/train/img/0001.JPG,./dataset/RDD/train/gt/0001.JPG,./dataset/RDD/train/back_gt/0001.JPG,0,0,0
1,./dataset/RDD/train/img/0002.JPG,./dataset/RDD/train/gt/0002.JPG,./dataset/RDD/train/back_gt/0002.JPG,0,0,0
2,./dataset/RDD/train/img/0003.JPG,./dataset/RDD/train/gt/0003.JPG,./dataset/RDD/train/back_gt/0003.JPG,0,0,0
3,./dataset/RDD/train/img/0004.JPG,./dataset/RDD/train/gt/0004.JPG,./dataset/RDD/train/back_gt/0004.JPG,0,0,0
4,./dataset/RDD/train/img/0005.JPG,./dataset/RDD/train/gt/0005.JPG,./dataset/RDD/train/back_gt/0005.JPG,0,0,0
5,./dataset/RDD/train/img/0006.JPG,./dataset/RDD/train/gt/0006.JPG,./dataset/RDD/train/back_gt/0006.JPG,0,0,0
6,./dataset/RDD/train/img/0007.JPG,./dataset/RDD/train/gt/0007.JPG,./dataset/RDD/train/back_gt/0007.JPG,0,0,0
7,./dataset/RDD/train/img/0008.JPG,./dataset/RDD/train/gt/0008.JPG,./dataset/RDD/train/back_gt/0008.JPG,0,0,0
8,./dataset/RDD/train/img/0009.JPG,./dataset/RDD/train/gt/0009.JPG,./dataset/RDD/train/back_gt/0009.JPG,0,0,0
9,./dataset/RDD/train/img/0010.JPG,./dataset/RDD/train/gt/0010.JPG,./dataset/RDD/train/back_gt/0010.JPG,0,0,0
10,./dataset/RDD/train/img/0011.JPG,./dataset/RDD/train/gt/0011.JPG,./dataset/RDD/train/back_gt/0011.JPG,0,0,0
11,./dataset/RDD/train/img/0012.JPG,./dataset/RDD/train/gt/0012.JPG,./dataset/RDD/train/back_gt/0012.JPG,0,0,0
12,./dataset/RDD/train/img/0013.JPG,./dataset/RDD/train/gt/0013.JPG,./dataset/RDD/train/back_gt/0013.JPG,0,0,0
13,./dataset/RDD/train/img/0014.JPG,./dataset/RDD/train/gt/0014.JPG,./dataset/RDD/train/back_gt/0014.JPG,0,0,0
14,./dataset/RDD/train/img/0015.JPG,./dataset/RDD/train/gt/0015.JPG,./dataset/RDD/train/back_gt/0015.JPG,0,0,0
15,./dataset/RDD/train/img/0016.JPG,./dataset/RDD/train/gt/0016.JPG,./dataset/RDD/train/back_gt/0016.JPG,0,0,0
16,./dataset/RDD/train/img/0017.JPG,./dataset/RDD/train/gt/0017.JPG,./dataset/RDD/train/back_gt/0017.JPG,0,0,0
17,./dataset/RDD/train/img/0018.JPG,./dataset/RDD/train/gt/0018.JPG,./dataset/RDD/train/back_gt/0018.JPG,0,0,0
18,./dataset/RDD/train/img/0019.JPG,./dataset/RDD/train/gt/0019.JPG,./dataset/RDD/train/back_gt/0019.JPG,0,0,0
19,./dataset/RDD/train/img/0020.JPG,./dataset/RDD/train/gt/0020.JPG,./dataset/RDD/train/back_gt/0020.JPG,0,0,0
20,./dataset/RDD/train/img/0021.JPG,./dataset/RDD/train/gt/0021.JPG,./dataset/RDD/train/back_gt/0021.JPG,0,0,0
21,./dataset/RDD/train/img/0022.JPG,./dataset/RDD/train/gt/0022.JPG,./dataset/RDD/train/back_gt/0022.JPG,0,0,0
22,./dataset/RDD/train/img/0023.JPG,./dataset/RDD/train/gt/0023.JPG,./dataset/RDD/train/back_gt/0023.JPG,0,0,0
23,./dataset/RDD/train/img/0024.JPG,./dataset/RDD/train/gt/0024.JPG,./dataset/RDD/train/back_gt/0024.JPG,0,0,0
24,./dataset/RDD/train/img/0025.JPG,./dataset/RDD/train/gt/0025.JPG,./dataset/RDD/train/back_gt/0025.JPG,0,0,0
